,category,subcategory,type,clothes_type,parameters,paramValueUnion,paramCombinations,transcriptTypeParams
15,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-regular', 'neckline-V-neck']",length-cropped fit-regular neckline-V-neck sweater
16,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-regular', 'neckline-U-neck']",length-cropped fit-regular neckline-U-neck sweater
17,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-regular', 'neckline-boat_neck']",length-cropped fit-regular neckline-boat_neck sweater
18,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-regular', 'neckline-cowl_neck']",length-cropped fit-regular neckline-cowl_neck sweater
19,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-regular', 'neckline-high_collar']",length-cropped fit-regular neckline-high_collar sweater
20,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-oversize', 'neckline-round_neck']",length-cropped fit-oversize neckline-round_neck sweater
21,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-oversize', 'neckline-V-neck']",length-cropped fit-oversize neckline-V-neck sweater
22,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-oversize', 'neckline-U-neck']",length-cropped fit-oversize neckline-U-neck sweater
23,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-oversize', 'neckline-boat_neck']",length-cropped fit-oversize neckline-boat_neck sweater
24,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-oversize', 'neckline-cowl_neck']",length-cropped fit-oversize neckline-cowl_neck sweater
25,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-oversize', 'neckline-high_collar']",length-cropped fit-oversize neckline-high_collar sweater
26,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-slim', 'neckline-round_neck']",length-regular fit-slim neckline-round_neck sweater
27,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-slim', 'neckline-V-neck']",length-regular fit-slim neckline-V-neck sweater
28,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-slim', 'neckline-U-neck']",length-regular fit-slim neckline-U-neck sweater
29,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-slim', 'neckline-boat_neck']",length-regular fit-slim neckline-boat_neck sweater
30,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-slim', 'neckline-cowl_neck']",length-regular fit-slim neckline-cowl_neck sweater
31,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-slim', 'neckline-high_collar']",length-regular fit-slim neckline-high_collar sweater
32,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-regular', 'neckline-round_neck']",length-regular fit-regular neckline-round_neck sweater
33,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-regular', 'neckline-V-neck']",length-regular fit-regular neckline-V-neck sweater
34,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-regular', 'neckline-U-neck']",length-regular fit-regular neckline-U-neck sweater
35,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-regular', 'neckline-boat_neck']",length-regular fit-regular neckline-boat_neck sweater
36,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-regular', 'neckline-cowl_neck']",length-regular fit-regular neckline-cowl_neck sweater
37,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-regular', 'neckline-high_collar']",length-regular fit-regular neckline-high_collar sweater
38,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-oversize', 'neckline-round_neck']",length-regular fit-oversize neckline-round_neck sweater
39,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-oversize', 'neckline-V-neck']",length-regular fit-oversize neckline-V-neck sweater
40,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-oversize', 'neckline-U-neck']",length-regular fit-oversize neckline-U-neck sweater
41,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-oversize', 'neckline-boat_neck']",length-regular fit-oversize neckline-boat_neck sweater
42,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-oversize', 'neckline-cowl_neck']",length-regular fit-oversize neckline-cowl_neck sweater
43,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-regular', 'fit-oversize', 'neckline-high_collar']",length-regular fit-oversize neckline-high_collar sweater
44,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-cropped', 'fit-regular', 'neckline-round_neck']",length-cropped fit-regular neckline-round_neck cardigan
45,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-cropped', 'fit-regular', 'neckline-V-neck']",length-cropped fit-regular neckline-V-neck cardigan
46,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-cropped', 'fit-regular', 'neckline-U-neck']",length-cropped fit-regular neckline-U-neck cardigan
47,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-cropped', 'fit-oversize', 'neckline-round_neck']",length-cropped fit-oversize neckline-round_neck cardigan
48,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-cropped', 'fit-oversize', 'neckline-V-neck']",length-cropped fit-oversize neckline-V-neck cardigan
49,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-cropped', 'fit-oversize', 'neckline-U-neck']",length-cropped fit-oversize neckline-U-neck cardigan
50,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-regular', 'fit-regular', 'neckline-round_neck']",length-regular fit-regular neckline-round_neck cardigan
51,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-regular', 'fit-regular', 'neckline-V-neck']",length-regular fit-regular neckline-V-neck cardigan
