,category,subcategory,type,clothesParameters,values,priorityProb,styleType
131,bottom,trousers,joggers,length,maxi,1.0,casual
132,bottom,trousers,cargo,waist,regular,1.0,casual
133,bottom,trousers,cargo,waist,high,1.0,casual
134,bottom,trousers,linen_trousers,waist,regular,1.0,casual
135,bottom,trousers,linen_trousers,waist,high,1.0,casual
136,bottom,trousers,linen_trousers,fit,tapered,1.0,casual
137,bottom,trousers,linen_trousers,fit,straight,1.0,casual
138,bottom,trousers,linen_trousers,fit,wide,1.0,casual
139,bottom,trousers,linen_trousers,fit,flared,1.0,casual
140,bottom,trousers,linen_trousers,fit,baggy,1.0,casual
141,bottom,trousers,linen_trousers,fit,A-line,1.0,casual
142,bottom,trousers,linen_trousers,length,cropped,1.0,casual
143,bottom,trousers,linen_trousers,length,regular,1.0,casual
144,bottom,trousers,linen_trousers,length,extended,1.0,casual
145,bottom,trousers,linen_trousers,length,midi,1.0,casual
146,bottom,trousers,linen_trousers,length,maxi,1.0,casual
147,bottom,jeans,jeans,waist,regular,1.0,casual
148,bottom,jeans,jeans,waist,high,1.0,casual
149,bottom,jeans,jeans,fit,tapered,1.0,casual
150,bottom,jeans,jeans,fit,straight,1.0,casual
151,bottom,jeans,jeans,fit,wide,1.0,casual
152,bottom,jeans,jeans,fit,flared,1.0,casual
153,bottom,jeans,jeans,fit,baggy,1.0,casual
154,bottom,jeans,jeans,fit,A-line,1.0,casual
155,bottom,jeans,jeans,length,cropped,1.0,casual
156,bottom,jeans,jeans,length,regular,1.0,casual
157,bottom,jeans,jeans,length,extended,1.0,casual
158,bottom,jeans,jeans,length,midi,1.0,casual
159,bottom,jeans,jeans,length,maxi,1.0,casual
160,bottom,shorts,casual_shorts,,,1.0,casual
161,bottom,shorts,bermuda_shorts,,,1.0,casual
162,bottom,shorts,denim_shorts,,,1.0,casual
163,bottom,skirts,denim_skirt,waist,regular,1.0,casual
164,bottom,skirts,denim_skirt,waist,high,1.0,casual
165,bottom,skirts,denim_skirt,fit,tapered,1.0,casual
166,bottom,skirts,denim_skirt,fit,straight,1.0,casual
167,bottom,skirts,denim_skirt,fit,wide,1.0,casual
168,bottom,skirts,denim_skirt,fit,flared,1.0,casual
169,bottom,skirts,denim_skirt,fit,baggy,1.0,casual
170,bottom,skirts,denim_skirt,fit,A-line,1.0,casual
171,bottom,skirts,denim_skirt,length,cropped,1.0,casual
172,bottom,skirts,denim_skirt,length,regular,1.0,casual
173,bottom,skirts,denim_skirt,length,extended,1.0,casual
174,bottom,skirts,denim_skirt,length,midi,1.0,casual
175,bottom,skirts,denim_skirt,length,maxi,1.0,casual
176,bottom,skirts,pleated_skirt,waist,regular,1.0,casual
177,bottom,skirts,pleated_skirt,waist,high,1.0,casual
178,bottom,skirts,pleated_skirt,fit,tapered,1.0,casual
179,bottom,skirts,pleated_skirt,fit,straight,1.0,casual
180,bottom,skirts,pleated_skirt,fit,wide,1.0,casual
181,bottom,skirts,pleated_skirt,fit,flared,1.0,casual
182,bottom,skirts,pleated_skirt,fit,baggy,1.0,casual
183,bottom,skirts,pleated_skirt,fit,A-line,1.0,casual
184,bottom,skirts,pleated_skirt,length,cropped,1.0,casual
185,bottom,skirts,pleated_skirt,length,regular,1.0,casual
186,bottom,skirts,pleated_skirt,length,extended,1.0,casual
187,bottom,skirts,pleated_skirt,length,midi,1.0,casual
188,bottom,skirts,pleated_skirt,length,maxi,1.0,casual
189,bottom,skirts,knitted_skirt,waist,regular,1.0,casual
190,bottom,skirts,knitted_skirt,waist,high,1.0,casual
191,bottom,skirts,knitted_skirt,fit,tapered,1.0,casual
192,bottom,skirts,knitted_skirt,fit,straight,1.0,casual
193,bottom,skirts,knitted_skirt,fit,wide,1.0,casual
194,bottom,skirts,knitted_skirt,fit,flared,1.0,casual
195,bottom,skirts,knitted_skirt,fit,baggy,1.0,casual
196,bottom,skirts,knitted_skirt,fit,A-line,1.0,casual
197,bottom,skirts,knitted_skirt,length,cropped,1.0,casual
198,bottom,skirts,knitted_skirt,length,regular,1.0,casual
199,bottom,skirts,knitted_skirt,length,extended,1.0,casual
200,bottom,skirts,knitted_skirt,length,midi,1.0,casual
201,bottom,skirts,knitted_skirt,length,maxi,1.0,casual
202,outerwear,jackets,down_jacket,,,1.0,casual
203,outerwear,jackets,denim_jacket,,,1.0,casual
204,outerwear,jackets,windbreaker,,,1.0,casual
205,outerwear,jackets,parka,,,1.0,casual
206,outerwear,jackets,demi-season_jacket,,,1.0,casual
207,outerwear,coats,coat,,,1.0,casual
208,footwear,sneakers,low-top_sneakers,,,1.0,casual
209,footwear,sneakers,high-top_sneakers,,,1.0,casual
210,footwear,boots,boots,heel_type,stiletto,1.0,casual
211,footwear,boots,boots,heel_type,platform,1.0,casual
212,footwear,boots,boots,heel_type,heel,1.0,casual
213,footwear,boots,boots,heel_type,flat,1.0,casual
214,footwear,boots,ankle_boots,heel_type,stiletto,1.0,casual
215,footwear,boots,ankle_boots,heel_type,platform,1.0,casual
216,footwear,boots,ankle_boots,heel_type,heel,1.0,casual
217,footwear,boots,ankle_boots,heel_type,flat,1.0,casual
218,footwear,flats&loafers,flats,,,1.0,casual
219,footwear,flats&loafers,loafers,,,1.0,casual
